mapping,engine,run,elapsed_time,kernel_mode,user_mode,memory_max,memory_average,number_results,
gtfs-rdb,Ontop,0,111.46,5.4,110.05,3056168,0,3950980,3959530
gtfs-rdb,Ontop,1,108.01,5.35,108.52,3013616,0,3950980,3959530
gtfs-rdb,Ontop,2,108.83,5.32,107.65,3050236,0,3950980,3959530
,,,,,,,,,
gtfs-rdb,Morph-rdb,0,1172.76,10.13,125.92,1480432,0,4538060,4546610
gtfs-rdb,Morph-rdb,1,1171.6,9.73,124.47,1461900,0,4538060,4546610
gtfs-rdb,Morph-rdb,2,1165.98,10.94,120.9,1457912,0,4538060,4546610
,,,,,,,,,
gtfs-rdb,DB2Triples,0,175.27,36.56,243.31,25161472,0,3950980,3959530
gtfs-rdb,DB2Triples,1,162.54,19.51,255.43,25007208,0,3950980,3959530
gtfs-rdb,DB2Triples,2,155.47,17.99,248.61,25204936,0,3950980,3959530
,,,,,,,,,
gtfs-rdb,RMLMapper,,,,,,,,
gtfs-rdb,RMLMapper,,,,,,,,
gtfs-rdb,RMLMapper,,,,,,,,
,,,,,,,,,
gtfs-rdb,SDM-RDFizer,0,284.48,29.52,264.55,2269588,0,3950980,3959530
gtfs-rdb,SDM-RDFizer,1,281.03,28.39,263.04,2161300,0,3950980,3959530
gtfs-rdb,SDM-RDFizer,2,287.37,29.63,268.52,2019852,0,3950980,3959530
,,,,,,,,,
gtfs-rdb,R2RML-F,0,145.96,13.96,201.79,13506668,0,3950980,3959530
gtfs-rdb,R2RML-F,1,146.8,12.34,203.82,13508004,0,3950980,3959530
gtfs-rdb,R2RML-F,2,146.88,12.64,203.2,13481252,0,3950980,3959530
,,,,,,,,,
gtfs-csv,RMLMapper,0,TimeOut,,,,,,
gtfs-csv,RMLMapper,1,TimeOut,,,,,,
gtfs-csv,RMLMapper,2,TimeOut,,,,,,
,,,,,,,,,
gtfs-json,RMLMapper,0,TimeOut,,,,,,
gtfs-json,RMLMapper,1,TimeOut,,,,,,
gtfs-json,RMLMapper,2,TimeOut,,,,,,
,,,,,,,,,
gtfs-xml,RMLMapper,0,TimeOut,,,,,,
gtfs-xml,RMLMapper,1,TimeOut,,,,,,
gtfs-xml,RMLMapper,2,TimeOut,,,,,,
,,,,,,,,,
gtfs-csv,RocketRML,0,,,,OutOfMemory,,,
gtfs-csv,RocketRML,1,,,,OutOfMemory,,,
gtfs-csv,RocketRML,2,,,,OutOfMemory,,,
,,,,,,,,,
gtfs-json,RocketRML,0,,,,OutOfMemory,,,
gtfs-json,RocketRML,1,,,,OutOfMemory,,,
gtfs-json,RocketRML,2,,,,OutOfMemory,,,
,,,,,,,,,
gtfs-xml,RocketRML,0,,,,OutOfMemory,,,
gtfs-xml,RocketRML,1,,,,OutOfMemory,,,
gtfs-xml,RocketRML,2,,,,OutOfMemory,,,
,,,,,,,,,
gtfs-csv,R2RML-F,0,415.84,30,459.98,23304216,0,3959530,
gtfs-csv,R2RML-F,1,387.36,14.32,443.72,23314716,0,3959530,
gtfs-csv,R2RML-F,2,407.31,13.1,453.02,23303332,0,3959530,
,,,,,,,,,
gtfs-csv,SDM-RDFizer,0,4063.36,11.36,4051.7,2563860,0,3959530,
gtfs-csv,SDM-RDFizer,1,3995.28,8.55,3986.61,2527240,0,3959530,
gtfs-csv,SDM-RDFizer,2,3985.25,8.61,3976.53,2348664,0,3959530,
,,,,,,,,,
gtfs-xml,SDM-RDFizer,0,130.5,5.93,124.53,4171092,0,3959530,
gtfs-xml,SDM-RDFizer,1,129.57,4.07,125.39,4037920,0,3959530,
gtfs-xml,SDM-RDFizer,2,128.54,4.84,123.6,3966248,0,3959530,
,,,,,,,,,
gtfs-json,SDM-RDFizer,0,3896.09,26.59,3868.08,2389356,0,3959530,
gtfs-json,SDM-RDFizer,1,3771.44,22.16,3748.57,2729840,0,3959530,
gtfs-json,SDM-RDFizer,2,3713.03,35.44,3677.35,2394928,0,3959530,
,,,,,,,,,
gtfs-csv,Chimera,0,202.78,27.87,725.72,17475872,0,5210981,
gtfs-csv,Chimera,1,203.24,17.11,743.37,15933032,0,5210981,
gtfs-csv,Chimera,2,203.42,19.02,745.04,16237816,0,5210981,
