mapping,engine,run,elapsed_time,kernel_mode,user_mode,memory_max,memory_average,number_results
gtfs-rdb,Ontop,0,TimeOut,,,,,
gtfs-rdb,Ontop,1,TimeOut,,,,,
gtfs-rdb,Ontop,2,TimeOut,,,,,
,,,,,,,,
gtfs-rdb,DB2Triples,0,TimeOut,,,OutOfMemory,,
gtfs-rdb,DB2Triples,1,TimeOut,,,OutOfMemory,,
gtfs-rdb,DB2Triples,2,TimeOut,,,OutOfMemory,,
,,,,,,,,
gtfs-xml,RMLMapper,0,TimeOut,,,,,
gtfs-xml,RMLMapper,1,TimeOut,,,,,
gtfs-xml,RMLMapper,2,TimeOut,,,,,
,,,,,,,,
gtfs-csv,RMLMapper,0,TimeOut,,,,,
gtfs-csv,RMLMapper,1,TimeOut,,,,,
gtfs-csv,RMLMapper,2,TimeOut,,,,,
,,,,,,,,
gtfs-json,RMLMapper,0,TimeOut,,,,,
gtfs-json,RMLMapper,1,TimeOut,,,,,
gtfs-json,RMLMapper,2,TimeOut,,,,,
,,,,,,,,
gtfs-csv,RocketRML,0,,,,OutOfMemory,,
gtfs-csv,RocketRML,1,,,,OutOfMemory,,
gtfs-csv,RocketRML,2,,,,OutOfMemory,,
,,,,,,,,
gtfs-json,RocketRML,0,,,,OutOfMemory,,
gtfs-json,RocketRML,1,,,,OutOfMemory,,
gtfs-json,RocketRML,2,,,,OutOfMemory,,
,,,,,,,,
gtfs-xml,RocketRML,0,,,,OutOfMemory,,
gtfs-xml,RocketRML,1,,,,OutOfMemory,,
gtfs-xml,RocketRML,2,,,,OutOfMemory,,
,,,,,,,,
gtfs-csv,R2RML-F,0,,,,OutOfMemory,,
gtfs-csv,R2RML-F,1,,,,OutOfMemory,,
gtfs-csv,R2RML-F,2,,,,OutOfMemory,,
