mapping,engine,run,elapsed_time,kernel_mode,user_mode,memory_max,memory_average,number_results,
gtfs-rdb,Ontop,0,1300.06,36.45,1295.56,26200660,0,39509800,39595300
gtfs-rdb,Ontop,1,1272.46,38.22,1115.07,25698788,0,39509800,
gtfs-rdb,Ontop,2,1288.01,38.32,1125.72,25046996,0,39509800,
,,,,,,,,,
gtfs-rdb,Morph-rdb,0,12158.92,113.25,1113.22,1466704,0,45380600,45466100
gtfs-rdb,Morph-rdb,1,12171.34,97.41,1084.41,1494076,0,45380600,
gtfs-rdb,Morph-rdb,2,12104.29,89.62,1023.64,1473956,0,45380600,
,,,,,,,,,
gtfs-rdb,DB2Triples,0,1848.67,226.68,5357.9,68179600,0,39509800,
gtfs-rdb,DB2Triples,1,1836.54,104.29,5547.74,68309916,0,39509800,
gtfs-rdb,DB2Triples,2,1812.36,100.49,5436.11,68276980,0,39509800,
,,,,,,,,,
gtfs-rdb,RMLMapper,,TimeOut,,,,,,
gtfs-rdb,RMLMapper,,TimeOut,,,,,,
gtfs-rdb,RMLMapper,,TimeOut,,,,,,
,,,,,,,,,
gtfs-rdb,SDM-RDFizer,0,2900.51,334.29,2681.81,21875436,0,39509800,
gtfs-rdb,SDM-RDFizer,1,2666.83,262.83,2499.1,22706536,0,39509800,
gtfs-rdb,SDM-RDFizer,2,2738.75,329.65,2536.54,21915908,0,39509800,
,,,,,,,,,
gtfs-csv,RMLMapper,0,TimeOut,,,,,,
gtfs-csv,RMLMapper,1,TimeOut,,,,,,
gtfs-csv,RMLMapper,2,TimeOut,,,,,,
,,,,,,,,,
gtfs-json,RMLMapper,0,TimeOut,,,,,,
gtfs-json,RMLMapper,1,TimeOut,,,,,,
gtfs-json,RMLMapper,2,TimeOut,,,,,,
,,,,,,,,,
gtfs-custom,RMLMapper,0,TimeOut,,,,,,
gtfs-custom,RMLMapper,1,TimeOut,,,,,,
gtfs-custom,RMLMapper,2,TimeOut,,,,,,
,,,,,,,,,
gtfs-rdb,R2RML-F,0,1458.74,171.01,2094.89,65151948,0,39509800,
gtfs-rdb,R2RML-F,1,1432.29,66.31,2102.56,65229392,0,39509800,
gtfs-rdb,R2RML-F,2,1484.49,80.36,2085.3,64100168,0,39509800,
,,,,,,,,,
gtfs-xml,RMLMapper,0,TimeOut,,,,,,
gtfs-xml,RMLMapper,1,TimeOut,,,,,,
gtfs-xml,RMLMapper,2,TimeOut,,,,,,
,,,,,,,,,
gtfs-csv,RocketRML,0,,,,OutOfMemory,,,
gtfs-csv,RocketRML,1,,,,OutOfMemory,,,
gtfs-csv,RocketRML,2,,,,OutOfMemory,,,
,,,,,,,,,
gtfs-json,RocketRML,0,,,,OutOfMemory,,,
gtfs-json,RocketRML,1,,,,OutOfMemory,,,
gtfs-json,RocketRML,2,,,,OutOfMemory,,,
,,,,,,,,,
gtfs-xml,RocketRML,0,,,,OutOfMemory,,,
gtfs-xml,RocketRML,1,,,,OutOfMemory,,,
gtfs-xml,RocketRML,2,,,,OutOfMemory,,,
,,,,,,,,,
gtfs-custom,RocketRML,0,,,,OutOfMemory,,,
gtfs-custom,RocketRML,1,,,,OutOfMemory,,,
gtfs-custom,RocketRML,2,,,,OutOfMemory,,,
,,,,,,,,,
gtfs-csv,R2RML-F,0,31439.84,126.29,33661.05,50642660,0,39595300,
gtfs-csv,R2RML-F,1,34723.11,91.57,36978.19,50608440,0,39595300,
gtfs-csv,R2RML-F,2,33385.01,84.7,35907.43,47073948,0,39595300,
,,,,,,,,,
gtfs-csv,SDM-RDFizer,0,TimeOut,,,,,,
gtfs-csv,SDM-RDFizer,1,TimeOut,,,,,,
gtfs-csv,SDM-RDFizer,2,TimeOut,,,,,,
,,,,,,,,,
gtfs-xml,SDM-RDFizer,0,1331.72,88.03,1243.12,33071636,0,39595300,
gtfs-xml,SDM-RDFizer,1,1259.91,44.38,1214.88,33039196,0,39595300,
gtfs-xml,SDM-RDFizer,2,1275.86,53.23,1221.92,41474928,0,39595300,
,,,,,,,,,
gtfs-json,SDM-RDFizer,0,TimeOut,,,,,,
gtfs-json,SDM-RDFizer,1,TimeOut,,,,,,
gtfs-json,SDM-RDFizer,2,TimeOut,,,,,,
,,,,,,,,,
gtfs-custom,SDM-RDFizer,0,TimeOut,,,,,,
gtfs-custom,SDM-RDFizer,1,TimeOut,,,,,,
gtfs-custom,SDM-RDFizer,2,TimeOut,,,,,,
,,,,,,,,,
gtfs-json,Chimera,0,TimeOut,,,,,,
gtfs-json,Chimera,1,TimeOut,,,,,,
gtfs-json,Chimera,2,TimeOut,,,,,,
,,,,,,,,,
gtfs-xml,Chimera,0,TimeOut,,,,,,
gtfs-xml,Chimera,1,TimeOut,,,,,,
gtfs-xml,Chimera,2,TimeOut,,,,,,
,,,,,,,,,
gtfs-csv,Chimera,0,,,,OutOfMemory,,,
gtfs-csv,Chimera,1,,,,OutOfMemory,,,
gtfs-csv,Chimera,2,,,,OutOfMemory,,,
,,,,,,,,,
gtfs-custom,Chimera,0,,,,,,,
gtfs-custom,Chimera,1,,,,,,,
gtfs-custom,Chimera,2,,,,,,,
