mapping,engine,run,elapsed_time,kernel_mode,user_mode,memory_max,memory_average,number_results
gtfs-rdb,Ontop,0,131.97,7.53,125.47,6493656,0,3959530
gtfs-rdb,Ontop,1,133.04,7.55,124.97,6434836,0,3959530
gtfs-rdb,Ontop,2,131.28,7.94,123.17,6913604,0,3959530
,,,,,,,,
gtfs-rdb,Morph-rdb,0,1172.76,10.13,125.92,1480432,0,4546610
gtfs-rdb,Morph-rdb,1,1171.6,9.73,124.47,1461900,0,4546610
gtfs-rdb,Morph-rdb,2,1165.98,10.94,120.9,1457912,0,4546610
,,,,,,,,
gtfs-rdb,DB2Triples,0,175.27,36.56,243.31,25161472,0,3959530
gtfs-rdb,DB2Triples,1,162.54,19.51,255.43,25007208,0,3959530
gtfs-rdb,DB2Triples,2,155.47,17.99,248.61,25204936,0,3959530
,,,,,,,,
gtfs-rdb,RMLMapper,0,TimeOut,,,,,
gtfs-rdb,RMLMapper,1,TimeOut,,,,,
gtfs-rdb,RMLMapper,2,TimeOut,,,,,
,,,,,,,,
gtfs-rdb,SDM-RDFizer,0,284.48,29.52,264.55,2269588,0,3959530
gtfs-rdb,SDM-RDFizer,1,281.03,28.39,263.04,2161300,0,3959530
gtfs-rdb,SDM-RDFizer,2,287.37,29.63,268.52,2019852,0,3959530
,,,,,,,,
gtfs-rdb,R2RML-F,0,145.96,13.96,201.79,13506668,0,3959530
gtfs-rdb,R2RML-F,1,146.8,12.34,203.82,13508004,0,3959530
gtfs-rdb,R2RML-F,2,146.88,12.64,203.2,13481252,0,3959530
,,,,,,,,
gtfs-csv,RMLMapper,0,TimeOut,,,,,
gtfs-csv,RMLMapper,1,TimeOut,,,,,
gtfs-csv,RMLMapper,2,TimeOut,,,,,
,,,,,,,,
gtfs-json,RMLMapper,0,TimeOut,,,,,
gtfs-json,RMLMapper,1,TimeOut,,,,,
gtfs-json,RMLMapper,2,TimeOut,,,,,
,,,,,,,,
gtfs-xml,RMLMapper,0,TimeOut,,,,,
gtfs-xml,RMLMapper,1,TimeOut,,,,,
gtfs-xml,RMLMapper,2,TimeOut,,,,,
,,,,,,,,
gtfs-custom,RMLMapper,0,TimeOut,,,,,
gtfs-custom,RMLMapper,1,TimeOut,,,,,
gtfs-custom,RMLMapper,2,TimeOut,,,,,
,,,,,,,,
gtfs-csv,RocketRML,0,,,,OutOfMemory,,
gtfs-csv,RocketRML,1,,,,OutOfMemory,,
gtfs-csv,RocketRML,2,,,,OutOfMemory,,
,,,,,,,,
gtfs-json,RocketRML,0,,,,OutOfMemory,,
gtfs-json,RocketRML,1,,,,OutOfMemory,,
gtfs-json,RocketRML,2,,,,OutOfMemory,,
,,,,,,,,
gtfs-xml,RocketRML,0,,,,OutOfMemory,,
gtfs-xml,RocketRML,1,,,,OutOfMemory,,
gtfs-xml,RocketRML,2,,,,OutOfMemory,,
,,,,,,,,
gtfs-custom,RocketRML,0,,,,OutOfMemory,,
gtfs-custom,RocketRML,1,,,,OutOfMemory,,
gtfs-custom,RocketRML,2,,,,OutOfMemory,,
,,,,,,,,
gtfs-csv,R2RML-F,0,415.84,30,459.98,23304216,0,3959530
gtfs-csv,R2RML-F,1,387.36,14.32,443.72,23314716,0,3959530
gtfs-csv,R2RML-F,2,407.31,13.1,453.02,23303332,0,3959530
,,,,,,,,
gtfs-csv,SDM-RDFizer,0,398.24,5.98,392.18,2559540,0,3959530
gtfs-csv,SDM-RDFizer,1,421.36,2.85,418.43,2240172,0,3959530
gtfs-csv,SDM-RDFizer,2,396.2,3.53,392.5,2453016,0,3959530
,,,,,,,,
gtfs-xml,SDM-RDFizer,0,340.86,5.02,335.72,3421580,0,3959530
