"Dataset","Number of the triple","Time"
"gtfs","10000","2.555715322494507"
"gtfs","20000","2.752521276473999"
"gtfs","30000","2.890488862991333"
"gtfs","40000","3.0239484310150146"
"gtfs","50000","3.1701791286468506"
"gtfs","60000","3.3558266162872314"
"gtfs","70000","3.5300893783569336"
"gtfs","80000","3.7072882652282715"
"gtfs","90000","3.887596845626831"
"gtfs","100000","4.052927732467651"
"gtfs","110000","4.214283466339111"
"gtfs","120000","4.387636661529541"
"gtfs","130000","4.545047998428345"
"gtfs","140000","4.68211555480957"
"gtfs","150000","4.819674730300903"
"gtfs","160000","4.9585490226745605"
"gtfs","170000","5.099290132522583"
"gtfs","180000","5.233831167221069"
"gtfs","190000","5.369232654571533"
"gtfs","200000","5.521623134613037"
"gtfs","210000","5.660630464553833"
"gtfs","220000","5.800680160522461"
"gtfs","230000","5.938671350479126"
"gtfs","240000","6.091409683227539"
"gtfs","250000","6.237386703491211"
"gtfs","260000","6.415354490280151"
"gtfs","270000","6.6122212409973145"
"gtfs","280000","6.789555788040161"
"gtfs","290000","6.956230640411377"
"gtfs","300000","7.128301620483398"
"gtfs","310000","7.296013593673706"
"gtfs","320000","10.15774917602539"
"gtfs","330000","10.193994760513306"
"gtfs","340000","10.227573871612549"
"gtfs","350000","10.25791597366333"
"gtfs","360000","10.289062976837158"
"gtfs","370000","10.320409297943115"
"gtfs","380000","10.352215766906738"
"gtfs","390000","10.385992288589478"
"gtfs","400000","10.426953315734863"
"gtfs","410000","10.471439361572266"
"gtfs","420000","10.510077953338623"
"gtfs","430000","10.54833173751831"
"gtfs","440000","10.584888696670532"
"gtfs","450000","10.621374368667603"
"gtfs","460000","10.659227132797241"
"gtfs","470000","10.696179151535034"
"gtfs","480000","10.734357357025146"
"gtfs","490000","10.77177619934082"
"gtfs","500000","10.804151058197021"
"gtfs","510000","10.839210987091064"
"gtfs","520000","10.875423908233643"
"gtfs","530000","10.910483121871948"
"gtfs","540000","10.947773694992065"
"gtfs","550000","10.985380411148071"
"gtfs","560000","31.815086841583252"
